# thaifin concept dictionary — STAGING from SCC scout (per-symbol overlay)
#
# Symbol: SCC (Siam Cement Group / บริษัท ปูนซิเมนต์ไทย จำกัด (มหาชน))
# Industry: industrial (cement + chemicals + packaging conglomerate)
# Sample windows inspected:
#   - 1997 annual (audited, both consolidations) — t98 plain-text TIS-620 ad-hoc filing
#   - 2003 annual (audited, consolidated)         — sccTn.doc 3-doc layout
#   - 2010 annual (audited, consolidated)         — XLS, 3 sheets, Thai-named tabs (BS+IS combined)
#   - 2015 annual (audited, consolidated)         — XLS, 3 numbered sheets
#   - 2024 annual (audited, consolidated)         — XLSX, 5 numbered sheets (EQ split per-year)
#   - 2026Q1 quarterly (reviewed, company)        — XLS, 4 numbered sheets
#
# Conventions follow data/concepts.csv v0.1.
# Three categories of rows below:
#   (a) ALIAS_APPEND  — existing v0 concept, NEW Thai phrasing observed in SCC. Action: extend
#                       aliases_th of the canonical row in data/concepts.csv.
#   (b) NEW_CONCEPT   — concept not in v0, high-value for industrial/conglomerate analysis.
#   (c) NOTE          — observation that doesn't directly require a row change but is worth
#                       recording (e.g., sign-convention surprises).
#
# Lines below are CSV; comments starting with # are ignored.
action,concept,statement,label_en,label_th,aliases_th_to_append,xbrl_ref,applicable_industries,sign_convention,source_citation
# === (a) ALIAS_APPEND for existing v0 concepts ===
ALIAS_APPEND,revenue,IS,Revenue from sales,รายได้จากการขาย,รายได้จากการขาย|ขายสุทธิ,ifrs-full:Revenue,,as_reported,SCC 2024 sheet 2 row 6 (รายได้จากการขาย); SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 97 (ขายสุทธิ)
ALIAS_APPEND,cogs,IS,Cost of sales,ต้นทุนขาย,ต้นทุนขาย,ifrs-full:CostOfSales,,as_reported,SCC 2024 sheet 2 row 7 (ต้นทุนขาย); SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 98 (ต้นทุนขาย)
ALIAS_APPEND,selling_expenses,IS,Distribution costs,ต้นทุนในการจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย|ค่าใช้จ่ายในการขาย,ifrs-full:DistributionCosts,,as_reported,SCC 2024 sheet 2 row 13 (ต้นทุนในการจัดจำหน่าย); SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 104 (ค่าใช้จ่ายในการขาย)
ALIAS_APPEND,operating_profit,IS,Operating profit,กำไรจากการดำเนินงาน,กำไรจากการดำเนินงาน,ifrs-full:ProfitLossFromOperatingActivities,,as_reported,SCC 2024 sheet 2 row 18; SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 109
ALIAS_APPEND,ebit,IS,Profit before finance costs and income tax,กำไรก่อนต้นทุนทางการเงินและภาษีเงินได้,กำไรก่อนต้นทุนทางการเงินและภาษีเงินได้,,,as_reported,SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 114
ALIAS_APPEND,income_tax_expense,IS,Income tax expense,ค่าใช้จ่ายภาษีเงินได้,ภาษีเงินได้,ifrs-full:IncomeTaxExpenseContinuingOperations,,as_reported,SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 119 (ภาษีเงินได้); SCC 2024 sheet 2 row 24 (ค่าใช้จ่ายภาษีเงินได้)
ALIAS_APPEND,net_profit,IS,Profit for the period,กำไรสำหรับปี,กำไรสำหรับปี|กำไรสุทธิ|กำไรสำหรับงวด,ifrs-full:ProfitLoss,,as_reported,SCC 2024 sheet 2 row 25 (กำไรสำหรับปี); SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 120 (กำไรสุทธิ); SCC 2026Q1 sheet 4 row 8 (กำไรสำหรับงวด)
ALIAS_APPEND,eps_basic,IS,Basic earnings per share,กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน (บาท),ifrs-full:BasicEarningsLossPerShare,,as_reported,SCC 2010 row 128 (heading 127); SCC 2024 sheet 2 row 32
ALIAS_APPEND,cash,BS,Cash and cash equivalents,เงินสดและรายการเทียบเท่าเงินสด,เงินสดและรายการเทียบเท่าเงินสด|เงินสดและเงินฝากสถาบันการเงิน,ifrs-full:CashAndCashEquivalents,,as_reported,SCC 2024 sheet 1 row 7; SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 7; SCC 2003 scct2.docx Table 0 R3 (เงินสดและเงินฝากสถาบันการเงิน — pre-IFRS phrasing)
ALIAS_APPEND,ppe,BS,Property plant and equipment,ที่ดิน อาคารและอุปกรณ์,ที่ดิน อาคารและอุปกรณ์,ifrs-full:PropertyPlantAndEquipment,,as_reported,SCC 2024 sheet 1 row 23; SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 23; SCC 2003 scct2 Table 0 R18
ALIAS_APPEND,total_assets,BS,Total assets,รวมสินทรัพย์,รวมสินทรัพย์,ifrs-full:Assets,,as_reported,SCC 2024 sheet 1 row 30; SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 29
ALIAS_APPEND,total_liabilities,BS,Total liabilities,รวมหนี้สิน,รวมหนี้สิน,ifrs-full:Liabilities,,as_reported,SCC 2024 sheet 1 row 58; SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 58
ALIAS_APPEND,equity,BS,Total equity,รวมส่วนของผู้ถือหุ้น,รวมส่วนของผู้ถือหุ้น,ifrs-full:Equity,,as_reported,SCC 2024 sheet 1 row 83; SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 87
ALIAS_APPEND,paid_up_capital,BS,Issued and paid-up share capital,ทุนที่ออกและชำระแล้ว,ทุนที่ออกและชำระแล้ว,ifrs-full:IssuedCapital,,as_reported,SCC 2024 sheet 1 row 70-71; SCC 2010 sheet งบดุล-งบกำไรขาดทุน row 69
