# thaifin concept dictionary — BBL scout staging (v0.1)
#
# Symbol: BBL (Bangkok Bank Public Company Limited / ธนาคารกรุงเทพ จำกัด (มหาชน))
# Industry: bank
# Sample sweep: filings 1997, 1999, 2005, 2010, 2018, 2025 (annual) + 2026Q1 (interim)
#
# Two-row format:
#   1. New rows (proposed concepts) carry the full 8-column shape from data/concepts.csv
#      plus an empty `aliases_th_to_append` column.
#   2. Alias-only extensions for EXISTING data/concepts.csv concepts populate
#      `aliases_th_to_append` (pipe-separated) and leave `label_en`/`label_th`/etc empty.
#      The coordinator merges these into the canonical row's aliases_th.
#
# Sources cited per row in inline comments above the row.
# Sheet names: 'งบฐานะการเงิน' (BS), 'งบกำไรขาดทุนเบ็ดเสร็จ' (IS), 'งบกระแสเงินสด' (CF),
# 'ปป-รวม'/'ปป-เฉพาะ' (EQchg).
#
# ============================================================================
# Section A: NEW concepts (banking-specific) — propose new rows
# ============================================================================
concept,statement,label_en,label_th,aliases_th,xbrl_ref,applicable_industries,sign_convention,aliases_th_to_append
# BBL 2025 IS R7 / 2010 IS R8 — interest income (banks' top-line)
interest_income,IS,Interest income,รายได้ดอกเบี้ย,รายได้ดอกเบี้ยและเงินปันผล,ifrs-full:InterestIncomeOnDepositsClassifiedAsInvestingActivities,bank,as_reported,
# BBL 2025 IS R8 / 2010 IS R13 — interest expense
interest_expense,IS,Interest expense,ค่าใช้จ่ายดอกเบี้ย,,ifrs-full:InterestExpense,bank,as_reported,
# BBL 2010 IS R19 — net interest income (post-provision is a different concept)
net_interest_income,IS,Net interest income,รายได้ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยและเงินปันผลสุทธิ,,bank,as_reported,
# BBL 2025 IS R10 — fees and service income (banks' second leg)
fee_and_service_income,IS,Fees and service income,รายได้ค่าธรรมเนียมและบริการ,ค่าธรรมเนียมและบริการ,,bank|insurance,as_reported,
# BBL 2025 IS R11 — fee/service expense
fee_and_service_expense,IS,Fees and service expense,ค่าใช้จ่ายค่าธรรมเนียมและบริการ,,,bank|insurance,as_reported,
