# thaifin concept dictionary — SCB scout staging (v0)
#
# Schema (matches data/concepts.csv plus a 9th column `aliases_th_to_append`):
#   concept                — short stable English ID, snake_case.
#   statement              — one of BS, IS, CF, EQ.
#   label_en               — human English label.
#   label_th               — canonical Thai label (verbatim from a real filing).
#   aliases_th             — pipe-separated alternative phrasings observed in real filings.
#   xbrl_ref               — IFRS XBRL taxonomy ID. Empty if no confident mapping.
#   applicable_industries  — pipe-separated industries this concept applies to. EMPTY = all.
#   sign_convention        — as_reported (default) | abs | negate_if_outflow.
#   aliases_th_to_append   — STAGING ONLY. Populated only when this row PROPOSES extending an
#                            existing canonical concept's `aliases_th` with phrasings observed
#                            in SCB filings. Empty for "new concept" proposals.
#
# Sample sources cited (filing_id → period):
#   22062377                          → SCB 2022Q1 (still bank entity, reviewed)
#   23016979                          → SCBX FY2022 (audited, restructure year)
#   1706FIN200220241653550737T        → SCBX FY2023 (audited)
#   1706FIN190220251132070328T        → SCBX FY2024 (audited)
#   1706FIN190220261234280476T        → SCBX FY2025 (audited)
#   1706FIN141120251632000394T        → SCBX 2025Q3 (reviewed)
#   1706FIN130520261402470059T        → SCBX 2026Q1 (reviewed)
#
# Sheet/row citations format: (filing_id, sheet, row).
#
# Naming note: the SCB ticker spans two legal entities. Pre-2022Q2 filings are signed by
# "ธนาคารไทยพาณิชย์ จำกัด (มหาชน) และบริษัทย่อย" (Siam Commercial Bank Public Co. Ltd.); from
# the 2022 annual filing onwards, the ticker carries "บริษัท เอสซีบี เอกซ์ จำกัด (มหาชน)
# และบริษัทย่อย" (SCB X Public Co. Ltd. — the holding company). Sheet vocabulary is largely
# stable across the migration; the entity-row text differs.
#
concept,statement,label_en,label_th,aliases_th,xbrl_ref,applicable_industries,sign_convention,aliases_th_to_append
# === existing concepts: rows that match SCB labels with no change ===
total_assets,BS,Total assets,รวมสินทรัพย์,,ifrs-full:Assets,,as_reported,
total_liabilities,BS,Total liabilities,รวมหนี้สิน,,ifrs-full:Liabilities,,as_reported,
equity,BS,Total equity,รวมส่วนของผู้ถือหุ้น,รวมส่วนของเจ้าของ,ifrs-full:Equity,,as_reported,
cash,BS,Cash and cash equivalents,เงินสดและรายการเทียบเท่าเงินสด,,ifrs-full:CashAndCashEquivalents,,as_reported,เงินสด
# Note: SCB / banks use bare "เงินสด" (just "Cash") rather than "เงินสดและรายการเทียบเท่าเงินสด" because
# the cash equivalents (interbank/money market positions) are surfaced as their own line items.
# This SHOULD be appended as an alias to the existing `cash` concept — but be aware that for banks,
# `เงินสด` is a much narrower line than the general-industry concept; downstream users should treat
# bank `cash` as vault cash + nostro accounts only, not interbank.
financing_activities,CF,Net cash used in financing activities,เงินสดสุทธิใช้ไปในกิจกรรมจัดหาเงิน,,ifrs-full:CashFlowsFromUsedInFinancingActivities,,as_reported,เงินสดสุทธิจาก (ใช้ไปใน) กิจกรรมจัดหาเงิน
investing_activities,CF,Net cash from (used in) investing activities,เงินสดสุทธิได้มาจาก(ใช้ไปใน)กิจกรรมลงทุน,เงินสดสุทธิใช้ไปในกิจกรรมลงทุน,ifrs-full:CashFlowsFromUsedInInvestingActivities,,as_reported,เงินสดสุทธิจาก (ใช้ไปใน) กิจกรรมลงทุน|เงินสดสุทธิ (ใช้ไปใน) จากกิจกรรมลงทุน
ocf,CF,Net cash from operating activities,เงินสดสุทธิได้มาจากกิจกรรมดำเนินงาน,,ifrs-full:CashFlowsFromUsedInOperatingActivities,,as_reported,เงินสดสุทธิจาก (ใช้ไปใน) กิจกรรมดำเนินงาน
net_profit,IS,Profit for the period,กำไรสำหรับปี,กำไรสำหรับรอบระยะเวลา,ifrs-full:ProfitLoss,,as_reported,กำไรสุทธิ
profit_before_tax,IS,Profit before income tax,กำไรก่อนภาษีเงินได้,,ifrs-full:ProfitLossBeforeTax,,as_reported,กำไรจากการดำเนินงานก่อนภาษีเงินได้
income_tax_expense,IS,Income tax expense,ค่าใช้จ่ายภาษีเงินได้,,ifrs-full:IncomeTaxExpenseContinuingOperations,,as_reported,ภาษีเงินได้
eps_basic,IS,Basic earnings per share,กำไรต่อหุ้นขั้นพื้นฐาน,กำไรต่อหุ้นขั้นพื้นฐาน (บาท),ifrs-full:BasicEarningsLossPerShare,,as_reported,
paid_up_capital,BS,Issued and paid-up share capital,ทุนออกจำหน่ายและชำระเต็มมูลค่าแล้ว,ทุนที่ออกและชำระแล้ว,ifrs-full:IssuedCapital,,as_reported,
depreciation_amortization,CF,Depreciation and amortization,ค่าเสื่อมราคาและค่าตัดจำหน่าย,,ifrs-full:DepreciationAndAmortisationExpense,,as_reported,ค่าเสื่อมราคาและรายจ่ายตัดบัญชี
tax_paid,CF,Income tax paid,เงินสดจ่ายภาษีเงินได้,จ่ายภาษีเงินได้,ifrs-full:IncomeTaxesPaidRefundClassifiedAsOperatingActivities,,negate_if_outflow,
dividends_paid,CF,Dividends paid,เงินปันผลจ่าย,,ifrs-full:DividendsPaidClassifiedAsFinancingActivities,,negate_if_outflow,จ่ายเงินปันผลให้ผู้ถือหุ้นของบริษัท
#
# === NEW bank-specific concepts (applicable_industries=bank) ===
#
# --- Income statement (bank) ---
interest_income,IS,Interest income,รายได้ดอกเบี้ย,,ifrs-full:InterestIncomeOnLoansAndAdvancesToCustomers,bank,as_reported,
interest_expense,IS,Interest expense,ค่าใช้จ่ายดอกเบี้ย,,ifrs-full:InterestExpenseOnDepositsFromCustomers,bank,as_reported,
net_interest_income,IS,Net interest income,รายได้ (ค่าใช้จ่าย) ดอกเบี้ยสุทธิ,รายได้ดอกเบี้ยสุทธิ,ifrs-full:InterestIncomeExpense,bank,as_reported,
fee_and_service_income,IS,Fees and services income,รายได้ค่าธรรมเนียมและบริการ,,ifrs-full:FeeAndCommissionIncome,bank,as_reported,
