# thaifin concept dictionary — CPALL scout staging (v0.1)
#
# Sources for this scout (filing_id derived from FILEID; symbol = CPALL):
#   2003 audited annual    — dat/news/200402/04004428.zip
#                            (full-doc filing — cp7-11t1.doc/t2.doc/t3.doc; pre-XLS era)
#                            Company name then: "ซี.พี. เซเว่นอีเลฟเว่น จำกัด (มหาชน)"
#   2008 audited annual    — dat/news/200902/09007190.zip   (cpallt2.xls)
#   2015 audited annual    — dat/news/201602/16017244.zip
#   2020 audited annual    — dat/news/202102/21018726.zip   (TFRS-16 first-time adoption)
#   2025 audited annual    — dat/news/202602/0737FIN250220261406350902T.zip
#   2026Q1 reviewed quarterly — dat/news/202605/0737FIN130520261329450345T.zip
#
# Sheet structure note: CPALL annual XLS uses 7 sheets (no separate OCI sheet —
# OCI is appended below the regular PL section in the same sheet "PL N-N").
# This contrasts with PTT's documented 8-sheet pattern (separate OCI_Accum).
# 2026Q1 has 6 statement sheets + 4 internal "DS_INTERNAL_*" storage sheets
# that the parser must skip.
#
# Action types in this file:
#   * `aliases_th_to_append` row → append the Thai label to the existing concept
#     in canonical concepts.csv (do not create a new row in the canonical file).
#   * action `new` → propose a new concept row for the canonical file.
#   * action `confirmed` → label_th already matches canonical exactly; no change needed
#     but recorded here for coverage tracking.
#
concept,statement,label_en,label_th,aliases_th,xbrl_ref,applicable_industries,sign_convention,action,source_period,source_sheet,source_row,notes
# ---- IS / PL section ----
revenue,IS,Revenue from sales and services,รายได้จากการขายและการให้บริการ,รายได้จากการขายสินค้าและการให้บริการ,ifrs-full:Revenue,,as_reported,aliases_th_to_append,2025,PL 10-11,9,"CPALL adds 'สินค้า' (goods) — 'sales of goods AND services'. Same concept; alias only."
cogs,IS,Cost of sales and services,ต้นทุนขายและการให้บริการ,ต้นทุนขายสินค้าและต้นทุนการให้บริการ,ifrs-full:CostOfSales,,as_reported,aliases_th_to_append,2025,PL 10-11,18,"CPALL: 'cost of sales of goods and cost of services'."
selling_expenses,IS,Selling and distribution expenses,ค่าใช้จ่ายในการขายและจัดจำหน่าย,ต้นทุนในการจัดจำหน่าย,ifrs-full:DistributionCosts,,as_reported,aliases_th_to_append,2025,PL 10-11,19,"CPALL splits cost-of-sales/distribution differently: 'distribution cost' is reported as a discrete expense line, no 'selling' wording."
admin_expenses,IS,Administrative expenses,ค่าใช้จ่ายในการบริหาร,,ifrs-full:AdministrativeExpense,,as_reported,confirmed,2025,PL 10-11,20,
operating_profit,IS,Operating profit,กำไรจากการดำเนินงาน,กำไรจากกิจกรรมดำเนินงาน,ifrs-full:ProfitLossFromOperatingActivities,,as_reported,aliases_th_to_append,2025,PL 10-11,24,"CPALL uses 'กิจกรรมดำเนินงาน' (operating activities) instead of 'การดำเนินงาน' (the operation)."
ebit,IS,Profit before finance costs and income tax,กำไรก่อนต้นทุนทางการเงินและภาษีเงินได้,กำไรก่อนต้นทุนทางการเงินและค่าใช้จ่ายภาษีเงินได้,,,as_reported,aliases_th_to_append,2025,PL 10-11,27,"CPALL adds 'ค่าใช้จ่าย' (expense)."
finance_costs,IS,Finance costs,ต้นทุนทางการเงิน,,ifrs-full:FinanceCosts,,as_reported,confirmed,2025,PL 10-11,28,
profit_before_tax,IS,Profit before income tax,กำไรก่อนภาษีเงินได้,กำไรก่อนค่าใช้จ่ายภาษีเงินได้,ifrs-full:ProfitLossBeforeTax,,as_reported,aliases_th_to_append,2025,PL 10-11,29,"CPALL adds 'ค่าใช้จ่าย'."
income_tax_expense,IS,Income tax expense,ค่าใช้จ่ายภาษีเงินได้,,ifrs-full:IncomeTaxExpenseContinuingOperations,,as_reported,confirmed,2025,PL 10-11,30,
